Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
298.15	5.6518	742.93	0.0013460	221.59	229.20	0.92650	0.94591	3.9147	351.11	1.5305	undefined	undefined	0.0011592	188.77	0.0052976	346.83	376.77	1.4215	1.0154	4.0843	193.80	11.543	undefined	undefined
299.15	5.7782	733.31	0.0013637	224.53	232.41	0.93670	0.94995	4.1394	340.68	1.6423	undefined	undefined	0.0010322	196.17	0.0050976	345.42	374.87	1.4129	1.0236	4.4121	192.85	11.368	undefined	undefined
300.15	5.9069	723.14	0.0013829	227.58	235.75	0.94724	0.95452	4.4118	329.93	1.7672	undefined	undefined	0.00090841	204.14	0.0048986	343.86	372.80	1.4038	1.0323	4.8098	191.88	11.181	undefined	undefined
301.15	6.0380	712.31	0.0014039	230.74	239.22	0.95818	0.95975	4.7495	318.81	1.9078	undefined	undefined	0.00078799	212.79	0.0046995	342.14	370.51	1.3941	1.0416	5.3023	190.87	10.982	undefined	undefined
302.15	6.1715	700.70	0.0014271	234.05	242.86	0.96962	0.96580	5.1795	307.25	2.0678	undefined	undefined	0.00067127	222.24	0.0044996	340.21	367.98	1.3837	1.0515	5.9286	189.83	10.765	undefined	undefined
303.15	6.3075	688.11	0.0014533	237.54	246.71	0.98169	0.97286	5.7465	295.20	2.2518	undefined	undefined	0.00055860	232.70	0.0042974	338.04	365.14	1.3724	1.0622	6.7523	188.76	10.529	undefined	undefined
304.15	6.4463	674.25	0.0014831	241.26	250.82	0.99457	0.98126	6.5297	282.56	2.4667	undefined	undefined	0.00045046	244.44	0.0040910	335.55	361.92	1.3598	1.0738	7.8847	187.64	10.266	undefined	undefined
305.15	6.5877	658.69	0.0015182	245.29	255.29	1.0085	0.99148	7.6834	269.18	2.7225	undefined	undefined	0.00034745	257.89	0.0038776	332.64	358.19	1.3457	1.0865	9.5408	186.48	9.9668	undefined	undefined
306.15	6.7321	640.69	0.0015608	249.77	260.28	1.0241	1.0043	9.5537	254.85	3.0353	undefined	undefined	0.00025044	273.79	0.0036524	329.14	353.73	1.3294	1.1008	12.196	185.25	9.6175	undefined	undefined
307.15	6.8797	618.82	0.0016160	254.96	266.08	1.0423	1.0213	13.105	239.22	3.4339	undefined	undefined	0.00016072	293.55	0.0034066	324.72	348.16	1.3095	1.1172	17.145	183.95	9.1897	undefined	undefined
308.15	7.0307	589.52	0.0016963	261.53	273.45	1.0654	1.0461	22.343	221.50	3.9821	undefined	undefined	8.0567e-05	320.66	0.0031186	318.57	340.49	1.2830	1.1367	29.606	182.54	8.6175	undefined	undefined
