# Engine name: SSI Liquid - Kerosene
# Sun Jan 21 21:30:38 2018
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0.7000    800.0000      0.0000      1.0000      0.0000   1147.3235     21.9718      1.2472      1.1385   1035.9748    108.1555    133.3347      1.0238      1.2622      1.0000 
     0.7000    850.0000      0.0000      1.0000      0.0000   1151.0992     22.0227      1.2468      1.1384   1036.5009    170.5972    186.9990      1.6141      1.7693      1.0000 
     0.7000    900.0000      0.0000      1.0000      0.0000   1154.6654     22.0709      1.2464      1.1383   1036.9923    171.6089    187.8188      1.6229      1.7762      1.0000 
     0.7000    950.0000      0.0000      1.0000      0.0000   1158.0442     22.1168      1.2460      1.1382   1037.4530    172.5557    188.5876      1.6311      1.7826      1.0000 
     0.7000   1000.0000      0.0000      1.0000      0.0000   1161.2543     22.1606      1.2456      1.1381   1037.8863    173.4450    189.3108      1.6388      1.7887      1.0000 
     0.8000     50.0000      0.0000      1.0000      0.0000   1014.0709     19.6417      1.2370      1.1410   1029.8611    100.8083    139.0714      0.9599      1.3243      1.0000 
     0.8000    100.0000      0.0000      1.0000      0.0000   1051.7559     20.0336      1.2449      1.1426   1037.9538    124.6630    153.6453      1.1778      1.4517      1.0000 
     0.8000    150.0000      0.0000      1.0000      0.0000   1074.9537     20.2841      1.2485      1.1433   1042.5730    136.2483    161.7577      1.2816      1.5215      1.0000 
     0.8000    200.0000      0.0000      1.0000      0.0000   1091.9072     20.4717      1.2505      1.1436   1045.7846    143.7115    167.2330      1.3476      1.5682      1.0000 
     0.8000    250.0000      0.0000      1.0000      0.0000   1105.3279     20.6229      1.2518      1.1439   1048.2319    149.1377    171.3157      1.3952      1.6027      1.0000 
     0.8000    300.0000      0.0000      1.0000      0.0000   1116.4618     20.7502      1.2526      1.1440   1050.2000    153.3619    174.5465      1.4321      1.6299      1.0000 
     0.8000    350.0000      0.0000      1.0000      0.0000   1125.9887     20.8604      1.2531      1.1440   1051.8402    156.7986    177.2060      1.4619      1.6521      1.0000 
     0.8000    400.0000      0.0000      1.0000      0.0000   1134.3220     20.9578      1.2534      1.1440   1053.2421    159.6824    179.4575      1.4868      1.6709      1.0000 
     0.8000    450.0000      0.0000      1.0000      0.0000   1141.7323     21.0452      1.2535      1.1440   1054.4636    162.1582    181.4040      1.5081      1.6871      1.0000 
     0.8000    500.0000      0.0000      1.0000      0.0000   1148.4068     21.1246      1.2536      1.1440   1055.5436    164.3212    183.1146      1.5266      1.7012      1.0000 
     0.8000    550.0000      0.0000      1.0000      0.0000   1154.4805     21.1974      1.2536      1.1440   1056.5099    166.2377    184.6374      1.5430      1.7138      1.0000 
     0.8000    600.0000      0.0000      1.0000      0.0000   1160.0539     21.2646      1.2536      1.1439   1057.3830    167.9550    186.0076      1.5577      1.7251      1.0000 
     0.8000    650.0000      0.0000      1.0000      0.0000   1165.2043     21.3271      1.2535      1.1438   1058.1783    169.5084    187.2515      1.5709      1.7353      1.0000 
     0.8000    700.0000      0.0000      1.0000      0.0000   1169.9919     21.3855      1.2533      1.1438   1058.9077    170.9247    188.3891      1.5830      1.7447      1.0000 
     0.8000    750.0000      0.0000      1.0000      0.0000   1174.4651     21.4404      1.2532      1.1437   1059.5807    172.2247    189.4363      1.5940      1.7533      1.0000 
