# Engine name: SSI Liquid - IPA
# Sun Oct 29 12:05:59 2017
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1.0000    810.0000      0.0000      1.0000      0.0000   1237.3724     18.6657      1.2699      1.1621   1128.7553    175.7033    194.2132      1.6048      1.7613      0.9322 
     1.0000    820.0000      0.0000      1.0000      0.0000   1238.2526     18.6725      1.2700      1.1621   1129.0770    175.9573    194.4203      1.6067      1.7627      0.9322 
     1.0000    830.0000      0.0000      1.0000      0.0000   1239.1231     18.6791      1.2701      1.1622   1129.3948    176.2076    194.6245      1.6086      1.7642      0.9323 
     1.0000    840.0000      0.0000      1.0000      0.0000   1239.9840     18.6858      1.2702      1.1622   1129.7088    176.4545    194.8260      1.6104      1.7656      0.9324 
     1.0000    850.0000      0.0000      1.0000      0.0000   1240.8356     18.6923      1.2702      1.1623   1130.0190    176.6981    195.0249      1.6122      1.7670      0.9324 
     1.0000    860.0000      0.0000      1.0000      0.0000   1241.6780     18.6988      1.2703      1.1623   1130.3256    176.9388    195.2217      1.6140      1.7684      0.9325 
     1.0000    870.0000      0.0000      1.0000      0.0000   1242.5114     18.7052      1.2704      1.1623   1130.6285    177.1763    195.4158      1.6157      1.7698      0.9326 
     1.0000    880.0000      0.0000      1.0000      0.0000   1243.3361     18.7116      1.2705      1.1624   1130.9280    177.4106    195.6074      1.6174      1.7711      0.9326 
     1.0000    890.0000      0.0000      1.0000      0.0000   1244.1523     18.7179      1.2705      1.1624   1131.2240    177.6417    195.7966      1.6191      1.7724      0.9327 
     1.0000    900.0000      0.0000      1.0000      0.0000   1244.9600     18.7241      1.2706      1.1624   1131.5167    177.8699    195.9834      1.6208      1.7737      0.9328 
     1.0000    910.0000      0.0000      1.0000      0.0000   1245.7596     18.7303      1.2707      1.1625   1131.8062    178.0951    196.1678      1.6225      1.7750      0.9328 
     1.0000    920.0000      0.0000      1.0000      0.0000   1246.5511     18.7364      1.2708      1.1625   1132.0924    178.3175    196.3500      1.6241      1.7763      0.9329 
     1.0000    930.0000      0.0000      1.0000      0.0000   1247.3348     18.7425      1.2708      1.1625   1132.3755    178.5370    196.5299      1.6257      1.7776      0.9330 
     1.0000    940.0000      0.0000      1.0000      0.0000   1248.1107     18.7485      1.2709      1.1626   1132.6555    178.7539    196.7076      1.6273      1.7788      0.9330 
     1.0000    950.0000      0.0000      1.0000      0.0000   1248.8791     18.7544      1.2710      1.1626   1132.9326    178.9680    196.8832      1.6289      1.7800      0.9331 
     1.0000    960.0000      0.0000      1.0000      0.0000   1249.6400     18.7603      1.2710      1.1626   1133.2067    179.1795    197.0567      1.6304      1.7812      0.9331 
     1.0000    970.0000      0.0000      1.0000      0.0000   1250.3937     18.7662      1.2711      1.1627   1133.4779    179.3885    197.2282      1.6320      1.7824      0.9332 
     1.0000    980.0000      0.0000      1.0000      0.0000   1251.1403     18.7720      1.2711      1.1627   1133.7463    179.5953    197.3981      1.6335      1.7836      0.9333 
     1.0000    990.0000      0.0000      1.0000      0.0000   1251.8800     18.7777      1.2712      1.1627   1134.0119    179.8020    197.5683      1.6350      1.7848      0.9333 
     1.0000   1000.0000      0.0000      1.0000      0.0000   1252.6127     18.7834      1.2713      1.1627   1134.2749    180.0064    197.7367      1.6365      1.7859      0.9334 
     1.0000   1010.0000      0.0000      1.0000      0.0000   1253.3388     18.7890      1.2713      1.1628   1134.5351    180.2084    197.9031      1.6379      1.7871      0.9335 
     1.0000   1020.0000      0.0000      1.0000      0.0000   1254.0582     18.7946      1.2714      1.1628   1134.7928    180.4081    198.0678      1.6394      1.7882      0.9335 
     1.0000   1030.0000      0.0000      1.0000      0.0000   1254.7712     18.8002      1.2714      1.1628   1135.0480    180.6056    198.2307      1.6408      1.7893      0.9336 
     1.0000   1040.0000      0.0000      1.0000      0.0000   1255.4778     18.8057      1.2715      1.1628   1135.3006    180.8010    198.3918      1.6422      1.7904      0.9337 
     1.0000   1050.0000      0.0000      1.0000      0.0000   1256.1782     18.8112      1.2715      1.1629   1135.5508    180.9943    198.5513      1.6436      1.7915      0.9337 
