# Engine name: SSI Liquid - Kerosene
# Fri Jan 5 21:27:23 2018
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0.7000    400.0000      0.0000      0.8660      0.0000   1083.0875     19.8364      1.2534      1.1419   1058.2155    163.0368    182.0985      1.5109      1.6875      1.0000 
     0.7000    450.0000      0.0000      0.8660      0.0000   1090.1607     19.9205      1.2529      1.1418   1059.4225    165.4350    183.9942      1.5314      1.7032      1.0000 
     0.7000    500.0000      0.0000      0.8660      0.0000   1096.5184     19.9968      1.2524      1.1418   1060.4880    167.5310    185.6599      1.5492      1.7169      1.0000 
     0.7000    550.0000      0.0000      0.8660      0.0000   1102.2928     20.0665      1.2519      1.1417   1061.4398    169.3887    187.1427      1.5650      1.7290      1.0000 
     0.7000    600.0000      0.0000      0.8660      0.0000   1107.5826     20.1307      1.2514      1.1416   1062.2986    171.0536    188.4768      1.5791      1.7399      1.0000 
     0.7000    650.0000      0.0000      0.8660      0.0000   1112.4629     20.1903      1.2509      1.1415   1063.0798    172.5599    189.6878      1.5918      1.7498      1.0000 
     0.7000    700.0000      0.0000      0.8660      0.0000   1116.9928     20.2460      1.2504      1.1414   1063.7954    173.9335    190.7953      1.6034      1.7589      1.0000 
     0.7000    750.0000      0.0000      0.8660      0.0000   1121.2193     20.2981      1.2499      1.1414   1064.4550    175.1945    191.8147      1.6140      1.7672      1.0000 
     0.7000    800.0000      0.0000      0.8660      0.0000   1125.1804     20.3472      1.2494      1.1413   1065.0659    176.3590    192.7581      1.6238      1.7748      1.0000 
     0.7000    850.0000      0.0000      0.8660      0.0000   1128.9074     20.3936      1.2489      1.1412   1065.6345    177.4397    193.6356      1.6329      1.7820      1.0000 
     0.7000    900.0000      0.0000      0.8660      0.0000   1132.4265     20.4376      1.2484      1.1411   1066.1657    178.4472    194.4551      1.6414      1.7886      1.0000 
     0.7000    950.0000      0.0000      0.8660      0.0000   1135.7594     20.4795      1.2479      1.1410   1066.6639    179.3902    195.2235      1.6493      1.7948      1.0000 
     0.7000   1000.0000      0.0000      0.8660      0.0000   1138.9249     20.5194      1.2474      1.1409   1067.1325    180.2759    195.9464      1.6567      1.8007      1.0000 
     0.8000     50.0000      0.0000      0.8660      0.0000    991.2533     18.2592      1.2454      1.1421   1055.4619    108.7686    145.3437      1.0106      1.3504      1.0000 
     0.8000    100.0000      0.0000      0.8660      0.0000   1029.1277     18.6325      1.2521      1.1438   1064.0233    131.9162    160.1181      1.2158      1.4757      1.0000 
     0.8000    150.0000      0.0000      0.8660      0.0000   1052.3612     18.8693      1.2549      1.1446   1068.9113    143.2843    168.2330      1.3146      1.5434      1.0000 
     0.8000    200.0000      0.0000      0.8660      0.0000   1069.3041     19.0459      1.2563      1.1450   1072.3094    150.6375    173.6981      1.3776      1.5885      1.0000 
     0.8000    250.0000      0.0000      0.8660      0.0000   1082.6954     19.1878      1.2571      1.1453   1074.8995    155.9955    177.7704      1.4232      1.6219      1.0000 
     0.8000    300.0000      0.0000      0.8660      0.0000   1093.7911     19.3070      1.2575      1.1454   1076.9829    160.1726    180.9921      1.4585      1.6481      1.0000 
     0.8000    350.0000      0.0000      0.8660      0.0000   1103.2756     19.4100      1.2577      1.1455   1078.7197    163.5745    183.6437      1.4871      1.6695      1.0000 
     0.8000    400.0000      0.0000      0.8660      0.0000   1111.5646     19.5009      1.2577      1.1456   1080.2046    166.4313    185.8885      1.5109      1.6876      1.0000 
