# Engine name: MASA Hybrid
# Fri Dec 2 19:39:07 2016
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2.0000   1140.0000      0.0000      1.0000      0.0000   1533.1944     19.1057      1.2764      1.2344   1250.2818    208.6300    226.3551      1.6364      1.7754      1.0000 
     2.0000   1150.0000      0.0000      1.0000      0.0000   1533.7167     19.1095      1.2764      1.2342   1250.4048    208.8041    226.4994      1.6376      1.7764      1.0000 
     2.0000   1160.0000      0.0000      1.0000      0.0000   1534.2358     19.1133      1.2765      1.2341   1250.5269    208.9764    226.6423      1.6388      1.7773      1.0000 
     2.0000   1170.0000      0.0000      1.0000      0.0000   1534.7516     19.1171      1.2765      1.2340   1250.6479    209.1470    226.7838      1.6400      1.7783      1.0000 
     2.0000   1180.0000      0.0000      1.0000      0.0000   1535.2643     19.1208      1.2765      1.2339   1250.7680    209.3159    226.9239      1.6411      1.7792      1.0000 
     2.0000   1190.0000      0.0000      1.0000      0.0000   1535.7738     19.1245      1.2766      1.2338   1250.8870    209.4831    227.0628      1.6423      1.7801      1.0000 
     2.0000   1200.0000      0.0000      1.0000      0.0000   1536.2803     19.1282      1.2766      1.2337   1251.0051    209.6487    227.2002      1.6434      1.7810      1.0000 
     2.0000   1210.0000      0.0000      1.0000      0.0000   1536.7837     19.1319      1.2767      1.2336   1251.1222    209.8127    227.3364      1.6446      1.7819      1.0000 
     2.0000   1220.0000      0.0000      1.0000      0.0000   1537.2841     19.1356      1.2767      1.2335   1251.2384    209.9752    227.4714      1.6457      1.7828      1.0000 
     2.0000   1230.0000      0.0000      1.0000      0.0000   1537.7814     19.1392      1.2768      1.2334   1251.3536    210.1361    227.6050      1.6468      1.7837      1.0000 
     2.0000   1240.0000      0.0000      1.0000      0.0000   1538.2759     19.1429      1.2768      1.2333   1251.4680    210.2954    227.7375      1.6479      1.7846      1.0000 
     2.0000   1250.0000      0.0000      1.0000      0.0000   1538.7675     19.1465      1.2768      1.2332   1251.5814    210.4533    227.8687      1.6490      1.7854      1.0000 
     2.0000   1260.0000      0.0000      1.0000      0.0000   1539.2562     19.1501      1.2769      1.2331   1251.6940    210.6098    227.9988      1.6501      1.7863      1.0000 
     2.0000   1270.0000      0.0000      1.0000      0.0000   1539.7420     19.1536      1.2769      1.2330   1251.8057    210.7648    228.1277      1.6511      1.7872      1.0000 
     2.0000   1280.0000      0.0000      1.0000      0.0000   1540.2251     19.1572      1.2770      1.2329   1251.9165    210.9184    228.2555      1.6522      1.7880      1.0000 
     2.0000   1290.0000      0.0000      1.0000      0.0000   1540.7054     19.1607      1.2770      1.2328   1252.0265    211.0706    228.3821      1.6532      1.7888      1.0000 
     2.0000   1300.0000      0.0000      1.0000      0.0000   1541.1830     19.1642      1.2770      1.2327   1252.1357    211.2214    228.5076      1.6543      1.7897      1.0000 
     2.0000   1310.0000      0.0000      1.0000      0.0000   1541.6578     19.1677      1.2771      1.2326   1252.2440    211.3709    228.6320      1.6553      1.7905      1.0000 
     2.0000   1320.0000      0.0000      1.0000      0.0000   1542.1301     19.1712      1.2771      1.2325   1252.3516    211.5191    228.7554      1.6563      1.7913      1.0000 
     2.0000   1330.0000      0.0000      1.0000      0.0000   1542.5997     19.1746      1.2772      1.2324   1252.4583    211.6659    228.8777      1.6573      1.7921      1.0000 
     2.0000   1340.0000      0.0000      1.0000      0.0000   1543.0666     19.1781      1.2772      1.2323   1252.5643    211.8115    228.9989      1.6583      1.7929      1.0000 
     2.0000   1350.0000      0.0000      1.0000      0.0000   1543.5311     19.1815      1.2772      1.2322   1252.6694    211.9559    229.1192      1.6593      1.7937      1.0000 
